SMA_200,VWAP,Fib_50,Bullish_Engulfing,Daily_Pivots,MACD,Vol_SMA,Stoch_Buy,Stoch_Sell,SPXL_Ret_%,Trades
False,True,True,False,True,False,False,40,60,-1.1848831980307617,0.0
False,False,True,False,True,False,True,30,70,-1.1848831980307617,0.0
False,True,True,False,True,False,True,40,60,-1.1848831980307617,0.0
False,True,True,False,True,False,False,30,70,-1.1848831980307617,0.0
False,False,True,False,True,False,True,40,60,-1.1848831980307617,0.0
False,True,False,False,True,False,True,30,70,-1.1848831980307617,0.0
True,True,True,False,True,False,False,30,70,-1.1848831980307617,0.0
False,False,False,False,True,False,True,30,70,-1.1848831980307617,0.0
True,True,True,False,True,False,True,30,70,-1.1848831980307617,0.0
True,True,True,False,True,False,False,40,60,-1.1848831980307617,0.0
True,True,False,False,True,False,False,30,70,-1.1848831980307617,0.0
True,True,False,False,True,False,False,40,60,-1.1848831980307617,0.0
True,False,True,False,True,False,True,30,70,-1.1848831980307617,0.0
True,True,False,False,True,False,True,40,60,-1.1848831980307617,0.0
True,False,False,False,True,False,True,30,70,-1.1848831980307617,0.0
True,False,True,False,True,False,True,40,60,-1.1848831980307617,0.0
False,True,True,False,True,False,True,30,70,-1.1848831980307617,0.0
True,False,False,False,True,False,True,40,60,-1.1848831980307617,0.0
True,True,False,False,True,False,True,30,70,-1.1848831980307617,0.0
True,True,True,False,True,False,True,40,60,-1.1848831980307617,0.0
False,False,False,False,False,False,False,30,70,-1.2707457654935972,18.5
False,True,False,False,True,False,False,40,60,-1.4190145578423574,3.0
False,False,False,False,True,False,False,30,70,-1.4426247355454391,3.5
False,True,False,False,True,False,False,30,70,-2.282788767637123,1.0
True,False,False,False,True,False,False,40,60,-2.30575949137638,2.0
False,False,True,False,True,False,False,40,60,-2.30575949137638,2.0
True,False,True,False,True,False,False,40,60,-2.30575949137638,2.0
False,False,False,False,False,False,True,20,80,-2.6197796226801073,3.0
True,False,True,False,True,False,False,30,70,-2.6358889596368784,1.5
True,False,False,False,True,False,False,30,70,-2.6358889596368784,1.5
False,False,True,False,True,False,False,30,70,-2.6358889596368784,1.5
True,True,False,False,False,False,True,30,70,-3.189847434741966,1.0
True,True,True,False,False,False,True,40,60,-3.189847434741966,1.0
True,True,False,False,False,False,True,40,60,-3.189847434741966,1.0
True,True,True,False,False,False,True,30,70,-3.189847434741966,1.0
False,True,True,False,False,False,True,30,70,-3.189847434741966,1.0
False,False,False,True,False,False,False,40,60,-3.604810518502488,4.0
False,False,False,True,False,False,False,30,70,-4.638134843165487,2.0
True,True,False,False,False,False,False,30,70,-4.912154862963991,1.0
False,True,True,False,False,False,False,30,70,-4.912154862963991,1.0
True,True,True,False,False,False,False,30,70,-4.912154862963991,1.0
False,False,False,False,False,False,True,30,70,-5.334712901166383,6.0
False,False,False,False,False,False,True,40,60,-5.349513649695714,7.5
True,False,True,True,False,False,False,30,70,-5.549506137180571,1.0
False,False,True,True,False,False,False,30,70,-5.549506137180571,1.0
True,False,True,True,False,False,False,40,60,-5.549506137180571,1.0
True,False,False,True,False,False,False,30,70,-5.549506137180571,1.0
True,False,False,True,False,False,False,40,60,-5.549506137180571,1.0
False,True,False,False,False,False,False,40,60,-7.598986034666799,7.5
False,True,False,False,False,False,False,30,70,-10.722277854901796,4.5
